scenario_id,site_id,scenario_name,attendance_lift_pp,staff_coverage_lift_pp,cost_change_pct,weekly_hours_saved,confidence,site_name,market,projected_attendance_rate,projected_staff_coverage_rate,weekly_students_gained,annualized_value_usd
SITE-022-attendance-push,SITE-022,Attendance push,0.063,0.014,0.02,4.2,0.81,Staten Island Youth Hub 2,Staten Island,0.842,0.804,20.0,23055.0
SITE-013-attendance-push,SITE-013,Attendance push,0.055,0.007,0.021,4.1,0.63,Northern Queens Youth Hub 3,Northern Queens,0.83,0.837,19.9,22704.0
SITE-003-attendance-push,SITE-003,Attendance push,0.061,0.011,0.02,4.1,0.94,South Bronx Youth Hub 3,South Bronx,0.714,0.848,17.2,20752.0
SITE-023-bi-automation,SITE-023,BI automation,0.02,0.023,-0.017,8.4,0.48,Staten Island Youth Hub 3,Staten Island,0.762,0.87,4.5,20374.0
SITE-009-attendance-push,SITE-009,Attendance push,0.062,0.013,0.015,4.3,0.87,Central Brooklyn Youth Hub 4,Central Brooklyn,0.795,0.835,15.5,19973.0
SITE-008-attendance-push,SITE-008,Attendance push,0.056,0.011,0.014,4.3,0.72,Central Brooklyn Youth Hub 3,Central Brooklyn,0.69,0.879,15.3,19876.0
SITE-006-attendance-push,SITE-006,Attendance push,0.063,0.009,0.015,4.2,0.92,Central Brooklyn Youth Hub 1,Central Brooklyn,0.724,0.837,15.6,19871.0
SITE-005-attendance-push,SITE-005,Attendance push,0.064,0.009,0.023,3.0,0.47,South Bronx Youth Hub 5,South Bronx,0.731,0.842,18.8,19715.0
SITE-020-bi-automation,SITE-020,BI automation,0.021,0.026,-0.012,8.3,0.87,Upper Manhattan Youth Hub 5,Upper Manhattan,0.676,0.858,3.9,19634.0
SITE-018-attendance-push,SITE-018,Attendance push,0.058,0.008,0.02,3.9,0.65,Upper Manhattan Youth Hub 3,Upper Manhattan,0.735,0.843,16.1,19561.0
SITE-022-bi-automation,SITE-022,BI automation,0.02,0.024,-0.011,7.3,0.61,Staten Island Youth Hub 2,Staten Island,0.799,0.814,6.4,19470.0
SITE-025-bi-automation,SITE-025,BI automation,0.026,0.027,-0.01,7.7,0.61,Staten Island Youth Hub 5,Staten Island,0.761,0.893,5.3,19399.0
SITE-015-bi-automation,SITE-015,BI automation,0.025,0.021,-0.01,7.7,0.8,Northern Queens Youth Hub 5,Northern Queens,0.745,0.81,5.3,19397.0
SITE-002-bi-automation,SITE-002,BI automation,0.022,0.021,-0.016,8.2,0.83,South Bronx Youth Hub 2,South Bronx,0.692,0.914,3.7,19316.0
SITE-018-bi-automation,SITE-018,BI automation,0.013,0.02,-0.014,8.2,0.76,Upper Manhattan Youth Hub 3,Upper Manhattan,0.69,0.855,3.6,19215.0
SITE-003-bi-automation,SITE-003,BI automation,0.013,0.022,-0.008,8.2,0.6,South Bronx Youth Hub 3,South Bronx,0.666,0.859,3.7,19141.0
SITE-011-bi-automation,SITE-011,BI automation,0.022,0.014,-0.017,8.2,0.89,Northern Queens Youth Hub 1,Northern Queens,0.675,0.872,3.2,18978.0
SITE-006-bi-automation,SITE-006,BI automation,0.012,0.018,-0.016,8.3,0.66,Central Brooklyn Youth Hub 1,Central Brooklyn,0.673,0.846,3.0,18961.0
SITE-019-attendance-push,SITE-019,Attendance push,0.051,0.008,0.014,4.2,0.63,Upper Manhattan Youth Hub 4,Upper Manhattan,0.688,0.865,14.0,18655.0
SITE-007-bi-automation,SITE-007,BI automation,0.025,0.021,-0.016,8.0,0.89,Central Brooklyn Youth Hub 2,Central Brooklyn,0.661,0.872,3.3,18590.0
SITE-019-bi-automation,SITE-019,BI automation,0.012,0.021,-0.007,8.0,0.77,Upper Manhattan Youth Hub 4,Upper Manhattan,0.649,0.878,3.3,18435.0
