site_id,site_name,market,state,school_level,program_model,data_system,active_students,attendance_rate,engagement_rate,staff_coverage_rate,data_completeness_rate,incident_rate_per_100,pre_post_assessment_gain,open_quality_checks,critical_quality_checks,p0_p1_requirements,readiness_score,priority_score,value_at_stake_usd,next_action
SITE-015,Northern Queens Youth Hub 5,Northern Queens,NYC,High,Music and Arts,PowerSchool export,210,0.72,0.646,0.789,0.849,2.1,0.143,6,0,3,74.4,64.1,17273.0,Fix SQL data controls before executive readout
SITE-003,South Bronx Youth Hub 3,South Bronx,NYC,Elementary,STEM and Coding,Salesforce + DOE extract,282,0.653,0.607,0.837,0.838,1.94,0.154,5,0,3,73.7,62.9,41173.0,Fix SQL data controls before executive readout
SITE-028,Anchorage Launch Youth Hub 3,Anchorage Launch,AK,High,Academic Enrichment,Partner CSV intake,94,0.737,0.663,0.806,0.82,2.17,0.167,6,1,3,76.4,62.8,12082.0,Fix SQL data controls before executive readout
SITE-006,Central Brooklyn Youth Hub 1,Central Brooklyn,NYC,Elementary,STEM and Coding,Airtable + SIS export,248,0.661,0.615,0.828,0.834,1.92,0.159,5,0,3,74.0,62.7,32814.0,Fix SQL data controls before executive readout
SITE-007,Central Brooklyn Youth Hub 2,Central Brooklyn,NYC,Middle,College and Career,Airtable + SIS export,131,0.636,0.603,0.851,0.879,1.88,0.156,6,0,3,74.5,62.5,24262.0,Fix SQL data controls before executive readout
SITE-022,Staten Island Youth Hub 2,Staten Island,NYC,Elementary,Academic Enrichment,Excel tracker,318,0.779,0.644,0.79,0.797,1.85,0.165,6,3,3,76.8,61.6,23175.0,Fix SQL data controls before executive readout
SITE-014,Northern Queens Youth Hub 4,Northern Queens,NYC,Middle,STEM and Coding,PowerSchool export,127,0.679,0.595,0.826,0.854,1.85,0.161,5,0,3,74.6,60.6,16725.0,Fix SQL data controls before executive readout
SITE-018,Upper Manhattan Youth Hub 3,Upper Manhattan,NYC,Middle,STEM and Coding,Google Sheets intake,278,0.677,0.601,0.835,0.846,1.91,0.161,6,2,2,74.6,60.2,38627.0,Fix SQL data controls before executive readout
SITE-020,Upper Manhattan Youth Hub 5,Upper Manhattan,NYC,Elementary,STEM and Coding,Google Sheets intake,188,0.655,0.614,0.832,0.832,2.0,0.147,3,0,3,73.3,59.0,26916.0,Fix SQL data controls before executive readout
SITE-008,Central Brooklyn Youth Hub 3,Central Brooklyn,NYC,High,College and Career,Airtable + SIS export,274,0.634,0.59,0.868,0.903,1.8,0.149,5,0,3,74.6,58.4,42826.0,Prioritize attendance recovery scenario
SITE-011,Northern Queens Youth Hub 1,Northern Queens,NYC,High,College and Career,PowerSchool export,147,0.653,0.603,0.858,0.896,1.97,0.164,5,0,3,75.3,58.3,21771.0,Prioritize attendance recovery scenario
SITE-026,Anchorage Launch Youth Hub 1,Anchorage Launch,AK,Middle,Sports and Wellness,Partner CSV intake,65,0.72,0.724,0.817,0.817,2.47,0.167,5,0,2,76.9,57.9,8615.0,Fix SQL data controls before executive readout
SITE-009,Central Brooklyn Youth Hub 4,Central Brooklyn,NYC,Middle,Academic Enrichment,Airtable + SIS export,250,0.733,0.65,0.822,0.847,1.99,0.152,6,0,2,76.0,57.8,23119.0,Fix SQL data controls before executive readout
SITE-013,Northern Queens Youth Hub 3,Northern Queens,NYC,High,Academic Enrichment,PowerSchool export,361,0.775,0.631,0.83,0.855,2.06,0.157,5,0,3,76.9,56.2,15251.0,Fix SQL data controls before executive readout
SITE-024,Staten Island Youth Hub 4,Staten Island,NYC,Elementary,Sports and Wellness,Excel tracker,201,0.737,0.733,0.869,0.847,1.56,0.154,6,2,3,78.9,55.5,21743.0,Fix SQL data controls before executive readout
SITE-005,South Bronx Youth Hub 5,South Bronx,NYC,High,STEM and Coding,Salesforce + DOE extract,293,0.667,0.64,0.833,0.892,1.97,0.151,4,0,2,75.2,53.3,36746.0,Prioritize attendance recovery scenario
SITE-019,Upper Manhattan Youth Hub 4,Upper Manhattan,NYC,High,STEM and Coding,Google Sheets intake,274,0.637,0.659,0.857,0.883,1.71,0.153,4,1,2,75.7,52.7,43963.0,Prioritize attendance recovery scenario
SITE-027,Anchorage Launch Youth Hub 2,Anchorage Launch,AK,High,Sports and Wellness,Partner CSV intake,137,0.704,0.69,0.815,0.826,2.18,0.159,4,2,1,76.1,52.3,16206.0,Fix SQL data controls before executive readout
SITE-023,Staten Island Youth Hub 3,Staten Island,NYC,High,Sports and Wellness,Excel tracker,226,0.742,0.746,0.847,0.851,1.92,0.167,4,2,3,79.6,51.6,21397.0,Fix SQL data controls before executive readout
SITE-016,Upper Manhattan Youth Hub 1,Upper Manhattan,NYC,Middle,Music and Arts,Google Sheets intake,142,0.7,0.674,0.863,0.871,1.84,0.161,4,0,2,77.7,49.7,17120.0,Fix SQL data controls before executive readout
SITE-017,Upper Manhattan Youth Hub 2,Upper Manhattan,NYC,Elementary,Sports and Wellness,Google Sheets intake,256,0.717,0.768,0.84,0.861,1.92,0.171,3,1,3,79.8,49.5,22399.0,Fix SQL data controls before executive readout
SITE-025,Staten Island Youth Hub 5,Staten Island,NYC,High,Sports and Wellness,Excel tracker,202,0.735,0.748,0.866,0.845,1.67,0.162,5,3,2,80.2,49.4,21838.0,Fix SQL data controls before executive readout
SITE-004,South Bronx Youth Hub 4,South Bronx,NYC,Elementary,Academic Enrichment,Salesforce + DOE extract,151,0.743,0.685,0.867,0.889,1.81,0.167,4,1,3,79.4,49.1,13148.0,Prioritize attendance recovery scenario
SITE-021,Staten Island Youth Hub 1,Staten Island,NYC,Middle,Academic Enrichment,Excel tracker,194,0.776,0.634,0.831,0.854,1.93,0.162,3,2,2,77.6,47.1,13295.0,Fix SQL data controls before executive readout
SITE-012,Northern Queens Youth Hub 2,Northern Queens,NYC,High,Academic Enrichment,PowerSchool export,134,0.772,0.677,0.865,0.9,1.81,0.166,5,1,2,79.9,46.5,7051.0,Move to value realization tracking
SITE-010,Central Brooklyn Youth Hub 5,Central Brooklyn,NYC,High,Sports and Wellness,Airtable + SIS export,183,0.715,0.748,0.853,0.889,1.72,0.16,3,0,1,80.0,40.7,17470.0,Prioritize attendance recovery scenario
SITE-001,South Bronx Youth Hub 1,South Bronx,NYC,Elementary,Academic Enrichment,Salesforce + DOE extract,139,0.749,0.68,0.857,0.898,1.54,0.154,2,0,2,79.1,40.2,9691.0,Prioritize attendance recovery scenario
SITE-002,South Bronx Youth Hub 2,South Bronx,NYC,Middle,Music and Arts,Salesforce + DOE extract,168,0.67,0.709,0.893,0.901,1.68,0.174,4,0,0,79.7,39.7,19953.0,Prioritize attendance recovery scenario
