entity_id,entity_name,segment,owner
PRO001,Program initiative 1,Watch,Operations
PRO002,Program initiative 2,Growth,Analytics
PRO003,Program initiative 3,Core,Revenue
PRO004,Program initiative 4,Growth,Product
PRO005,Program initiative 5,Strategic,Analytics
PRO006,Program initiative 6,Strategic,Customer
PRO007,Program initiative 7,Growth,Product
PRO008,Program initiative 8,Watch,Customer
PRO009,Program initiative 9,Strategic,Product
PRO010,Program initiative 10,Growth,Analytics
PRO011,Program initiative 11,Growth,Product
PRO012,Program initiative 12,Strategic,Revenue
PRO013,Program initiative 13,Core,Product
PRO014,Program initiative 14,Growth,Product
PRO015,Program initiative 15,Strategic,Customer
PRO016,Program initiative 16,Core,Analytics
PRO017,Program initiative 17,Strategic,Analytics
PRO018,Program initiative 18,Watch,Revenue
PRO019,Program initiative 19,Growth,Revenue
PRO020,Program initiative 20,Strategic,Analytics
PRO021,Program initiative 21,Watch,Product
PRO022,Program initiative 22,Strategic,Analytics
PRO023,Program initiative 23,Growth,Product
PRO024,Program initiative 24,Core,Operations
PRO025,Program initiative 25,Strategic,Analytics
PRO026,Program initiative 26,Watch,Product
PRO027,Program initiative 27,Watch,Analytics
PRO028,Program initiative 28,Growth,Analytics
PRO029,Program initiative 29,Core,Revenue
PRO030,Program initiative 30,Strategic,Product
PRO031,Program initiative 31,Growth,Revenue
PRO032,Program initiative 32,Strategic,Product
PRO033,Program initiative 33,Core,Revenue
PRO034,Program initiative 34,Strategic,Customer
PRO035,Program initiative 35,Watch,Product
PRO036,Program initiative 36,Core,Product
