week,site_id,active_students,attendance_rate,engagement_rate,homework_completion_rate,sports_wellness_participation_rate,family_touchpoints,staff_coverage_rate,incident_rate_per_100,pre_post_assessment_gain,budget_utilization_rate,data_completeness_rate
2026-W08,SITE-001,141,0.701,0.684,0.667,0.406,8,0.826,1.28,0.151,0.981,0.87
2026-W09,SITE-001,138,0.772,0.614,0.604,0.451,19,0.825,1.34,0.11,0.926,0.876
2026-W10,SITE-001,130,0.648,0.642,0.691,0.646,21,0.873,1.51,0.151,0.949,0.922
2026-W11,SITE-001,136,0.735,0.633,0.73,0.535,35,0.771,2.49,0.161,0.836,0.936
2026-W12,SITE-001,125,0.718,0.631,0.636,0.554,8,0.875,1.36,0.166,0.761,0.926
2026-W13,SITE-001,141,0.741,0.68,0.68,0.439,24,0.869,2.37,0.197,0.957,0.873
2026-W14,SITE-001,140,0.759,0.778,0.75,0.553,12,0.905,2.32,0.161,0.906,0.931
2026-W15,SITE-001,140,0.772,0.649,0.727,0.439,15,0.871,1.24,0.161,0.916,0.878
2026-W16,SITE-001,168,0.832,0.657,0.831,0.57,38,0.882,1.09,0.122,0.848,0.959
2026-W17,SITE-001,139,0.778,0.591,0.728,0.621,26,0.955,0.1,0.161,1.022,0.891
2026-W18,SITE-001,127,0.717,0.741,0.798,0.666,33,0.808,2.3,0.159,0.951,0.894
2026-W19,SITE-001,144,0.77,0.791,0.805,0.467,20,0.801,1.2,0.124,0.839,0.925
2026-W20,SITE-001,143,0.782,0.659,0.764,0.614,42,0.824,1.93,0.128,0.801,0.819
2026-W21,SITE-001,140,0.761,0.777,0.912,0.646,8,0.914,1.09,0.201,0.984,0.868
2026-W08,SITE-002,179,0.753,0.807,0.821,0.662,42,0.941,1.03,0.17,0.842,0.936
2026-W09,SITE-002,160,0.633,0.697,0.774,0.543,8,0.917,2.23,0.168,1.034,0.845
2026-W10,SITE-002,181,0.686,0.651,0.755,0.59,30,0.836,2.21,0.161,0.927,0.936
2026-W11,SITE-002,154,0.634,0.808,0.661,0.6,15,0.911,2.41,0.193,0.939,0.879
2026-W12,SITE-002,168,0.677,0.774,0.744,0.572,45,0.795,2.01,0.186,0.931,0.893
2026-W13,SITE-002,162,0.669,0.652,0.88,0.684,20,0.978,1.51,0.23,0.828,0.961
2026-W14,SITE-002,170,0.68,0.685,0.683,0.492,36,0.909,1.58,0.157,0.874,0.845
2026-W15,SITE-002,171,0.644,0.713,0.685,0.541,22,0.829,2.1,0.161,0.907,0.886
2026-W16,SITE-002,174,0.681,0.671,0.721,0.602,55,0.856,1.46,0.141,0.858,0.921
2026-W17,SITE-002,174,0.665,0.669,0.687,0.517,23,0.851,1.74,0.183,0.917,0.901
2026-W18,SITE-002,161,0.633,0.575,0.683,0.441,25,0.938,0.71,0.148,0.833,0.942
2026-W19,SITE-002,173,0.632,0.755,0.753,0.441,48,0.818,1.86,0.206,0.843,0.872
2026-W20,SITE-002,178,0.728,0.731,0.788,0.568,8,0.99,0.99,0.181,1.035,0.833
2026-W21,SITE-002,154,0.667,0.734,0.649,0.612,29,0.927,1.71,0.145,0.897,0.964
2026-W08,SITE-003,334,0.7,0.639,0.736,0.597,44,0.768,2.16,0.117,0.934,0.783
2026-W09,SITE-003,268,0.609,0.539,0.695,0.531,33,0.737,2.8,0.148,0.874,0.846
2026-W10,SITE-003,247,0.593,0.537,0.74,0.482,19,0.825,1.78,0.141,0.945,0.777
2026-W11,SITE-003,271,0.702,0.542,0.566,0.415,52,0.887,1.39,0.164,0.972,0.829
2026-W12,SITE-003,284,0.598,0.648,0.666,0.502,37,0.858,1.79,0.164,0.971,0.862
2026-W13,SITE-003,316,0.705,0.708,0.759,0.701,57,0.857,2.53,0.192,1.041,0.888
2026-W14,SITE-003,264,0.579,0.593,0.685,0.41,39,0.881,1.41,0.136,0.941,0.82
2026-W15,SITE-003,275,0.651,0.538,0.643,0.598,48,0.952,1.27,0.156,0.88,0.893
2026-W16,SITE-003,263,0.606,0.52,0.573,0.562,34,0.845,1.34,0.167,0.937,0.893
2026-W17,SITE-003,247,0.579,0.634,0.704,0.599,29,0.867,1.77,0.141,0.962,0.849
2026-W18,SITE-003,281,0.637,0.616,0.748,0.535,58,0.834,1.51,0.153,0.883,0.786
2026-W19,SITE-003,268,0.711,0.707,0.767,0.556,49,0.726,3.02,0.162,0.973,0.767
2026-W20,SITE-003,297,0.705,0.57,0.748,0.488,45,0.829,2.1,0.144,0.914,0.821
2026-W21,SITE-003,327,0.763,0.711,0.78,0.718,89,0.849,2.25,0.17,0.876,0.919
2026-W08,SITE-004,164,0.755,0.698,0.764,0.51,48,0.767,1.86,0.173,0.897,0.908
2026-W09,SITE-004,144,0.694,0.656,0.686,0.631,41,0.916,1.72,0.135,0.999,0.921
2026-W10,SITE-004,148,0.778,0.662,0.714,0.667,51,0.857,2.5,0.164,0.869,0.879
2026-W11,SITE-004,156,0.78,0.675,0.65,0.462,8,0.905,2.23,0.131,0.895,0.799
2026-W12,SITE-004,169,0.814,0.676,0.647,0.477,18,0.898,0.21,0.148,1.0,0.904
2026-W13,SITE-004,146,0.775,0.678,0.801,0.656,8,0.934,0.58,0.215,1.084,0.916
2026-W14,SITE-004,152,0.724,0.711,0.818,0.634,15,0.881,2.38,0.201,0.9,0.814
2026-W15,SITE-004,138,0.706,0.679,0.758,0.552,27,0.682,2.26,0.151,0.875,0.941
2026-W16,SITE-004,167,0.76,0.676,0.731,0.469,52,0.784,2.37,0.159,0.839,0.92
2026-W17,SITE-004,169,0.766,0.637,0.69,0.549,18,0.908,1.92,0.127,0.956,0.872
2026-W18,SITE-004,130,0.688,0.706,0.694,0.553,33,0.873,3.04,0.198,0.819,0.929
2026-W19,SITE-004,122,0.661,0.692,0.693,0.496,8,0.901,1.66,0.187,0.867,0.858
2026-W20,SITE-004,162,0.788,0.766,0.746,0.596,35,0.928,1.74,0.186,0.977,0.888
2026-W21,SITE-004,148,0.719,0.675,0.709,0.438,23,0.904,0.92,0.165,0.896,0.892
2026-W08,SITE-005,303,0.664,0.609,0.814,0.411,44,0.849,1.55,0.134,0.925,0.901
2026-W09,SITE-005,289,0.675,0.586,0.65,0.605,53,0.752,2.93,0.175,0.895,0.865
2026-W10,SITE-005,307,0.672,0.648,0.693,0.646,31,0.949,0.71,0.168,0.859,0.911
2026-W11,SITE-005,287,0.67,0.691,0.642,0.444,36,0.744,2.05,0.139,0.97,0.802
2026-W12,SITE-005,264,0.573,0.647,0.679,0.515,38,0.794,2.2,0.185,0.97,0.885
2026-W13,SITE-005,289,0.675,0.603,0.696,0.524,29,0.827,1.64,0.169,0.851,0.841
2026-W14,SITE-005,291,0.629,0.697,0.796,0.502,55,0.851,2.09,0.151,0.941,0.956
2026-W15,SITE-005,303,0.698,0.668,0.645,0.755,58,0.836,1.67,0.12,0.921,0.934
2026-W16,SITE-005,294,0.674,0.596,0.655,0.433,45,0.906,1.84,0.147,1.004,0.911
2026-W17,SITE-005,322,0.701,0.652,0.675,0.706,27,0.873,1.62,0.155,0.959,0.943
2026-W18,SITE-005,295,0.691,0.665,0.642,0.545,56,0.891,2.48,0.138,0.945,0.906
2026-W19,SITE-005,306,0.684,0.671,0.691,0.494,64,0.795,2.82,0.162,0.985,0.853
2026-W20,SITE-005,287,0.682,0.591,0.685,0.575,50,0.72,2.5,0.129,0.933,0.918
2026-W21,SITE-005,262,0.649,0.639,0.695,0.598,47,0.881,1.47,0.149,1.004,0.862
2026-W08,SITE-006,251,0.663,0.669,0.69,0.599,42,0.807,2.36,0.163,0.897,0.865
2026-W09,SITE-006,303,0.706,0.681,0.754,0.463,51,0.808,1.7,0.205,0.93,0.796
2026-W10,SITE-006,221,0.625,0.646,0.841,0.491,28,0.807,2.4,0.144,0.806,0.87
2026-W11,SITE-006,238,0.678,0.543,0.71,0.536,53,0.847,1.46,0.126,0.949,0.828
2026-W12,SITE-006,254,0.678,0.619,0.718,0.462,36,0.822,1.77,0.178,0.807,0.864
2026-W13,SITE-006,235,0.703,0.692,0.644,0.56,36,0.839,1.29,0.128,0.96,0.822
2026-W14,SITE-006,269,0.736,0.579,0.731,0.614,44,0.837,1.93,0.142,0.99,0.797
2026-W15,SITE-006,234,0.659,0.589,0.643,0.563,25,0.815,2.68,0.179,0.841,0.933
2026-W16,SITE-006,232,0.674,0.54,0.633,0.572,40,0.967,1.16,0.175,0.891,0.779
2026-W17,SITE-006,219,0.544,0.548,0.599,0.54,22,0.866,1.29,0.138,1.023,0.835
2026-W18,SITE-006,251,0.647,0.554,0.646,0.693,26,0.9,2.33,0.171,0.961,0.802
2026-W19,SITE-006,234,0.604,0.723,0.755,0.511,39,0.75,2.14,0.106,0.853,0.874
2026-W20,SITE-006,260,0.629,0.559,0.607,0.513,39,0.837,1.58,0.189,0.9,0.816
2026-W21,SITE-006,264,0.714,0.673,0.74,0.543,50,0.689,2.75,0.182,0.879,0.796
2026-W08,SITE-007,139,0.661,0.668,0.727,0.444,43,0.846,1.43,0.159,0.921,0.846
2026-W09,SITE-007,110,0.552,0.648,0.728,0.737,27,0.887,1.73,0.128,0.949,0.878
2026-W10,SITE-007,117,0.579,0.611,0.791,0.778,26,0.813,1.32,0.112,0.909,0.884
2026-W11,SITE-007,116,0.582,0.509,0.673,0.805,33,0.878,1.26,0.169,1.064,0.846
2026-W12,SITE-007,163,0.735,0.68,0.747,0.584,27,0.725,2.12,0.163,0.906,0.892
2026-W13,SITE-007,153,0.714,0.629,0.762,0.414,31,0.861,3.35,0.182,0.918,0.96
2026-W14,SITE-007,120,0.658,0.554,0.61,0.504,33,0.913,2.0,0.148,0.91,0.865
2026-W15,SITE-007,128,0.618,0.669,0.715,0.578,17,0.83,2.45,0.176,0.948,0.794
2026-W16,SITE-007,129,0.669,0.632,0.793,0.62,19,0.99,0.95,0.15,0.907,0.888
2026-W17,SITE-007,144,0.697,0.511,0.75,0.351,20,0.823,1.3,0.157,0.911,0.921
2026-W18,SITE-007,136,0.637,0.5,0.549,0.692,19,0.773,2.19,0.162,0.999,0.898
2026-W19,SITE-007,134,0.622,0.636,0.708,0.585,8,0.839,2.77,0.121,0.933,0.913
2026-W20,SITE-007,119,0.638,0.614,0.684,0.465,8,0.881,1.36,0.154,0.836,0.849
2026-W21,SITE-007,121,0.545,0.577,0.645,0.364,8,0.86,2.06,0.2,0.953,0.878
2026-W08,SITE-008,260,0.562,0.634,0.765,0.525,41,0.765,2.14,0.124,0.792,0.883
2026-W09,SITE-008,274,0.668,0.602,0.733,0.517,54,0.835,1.93,0.149,0.917,0.898
2026-W10,SITE-008,285,0.641,0.51,0.718,0.546,53,0.804,2.55,0.129,0.993,0.928
2026-W11,SITE-008,242,0.591,0.497,0.74,0.549,38,0.873,1.7,0.162,1.069,0.877
2026-W12,SITE-008,281,0.643,0.649,0.728,0.499,59,0.845,2.12,0.168,0.965,0.881
2026-W13,SITE-008,296,0.638,0.514,0.696,0.6,62,0.753,2.53,0.117,0.895,0.864
2026-W14,SITE-008,252,0.575,0.605,0.817,0.639,44,0.903,1.6,0.176,0.835,0.892
2026-W15,SITE-008,287,0.681,0.558,0.649,0.516,43,0.93,0.71,0.12,0.774,0.971
2026-W16,SITE-008,289,0.708,0.536,0.681,0.547,68,0.894,2.67,0.148,0.938,0.995
